Subregion,Municipality,ProjectedPopulation,Thefts,TrafAccid,Homicides,SchoolDes,SportsScenari,Extortions,LesionesPer
Valle de Aburra,Barbosa,"50,836",115,19,7,105,63,4,74
Valle de Aburra,Caldas,"78,756",141,12,12,276,66,1,85
Valle de Aburra,Copacabana,"71,035",385,18,19,254,81,5,143
Valle de Aburra,Girardota,"55,490",174,15,8,129,53,4,76
Valle de Aburra,La Estrella,"63,335",264,6,9,172,76,6,68
Valle de Aburra,Sabaneta,"52,554",506,12,7,225,54,4,132
Bajo Cauca,Caceres,"38,850",17,10,22,228,38,1,16
Bajo Cauca,Caucasia,"114,902",212,22,33,761,93,9,132
Bajo Cauca,El Bagre,"49,913",17,4,40,515,79,2,44
Bajo Cauca,Nechi,"27,238",5,1,1,332,42,1,9
Bajo Cauca,Taraza,"43,856",28,14,21,453,46,4,20
Bajo Cauca,Zaragoza,"31,129",11,3,29,367,41,2,16
Magdalena Medio,Caracoli,"4,569",8,1,1,30,37,1,4
Magdalena Medio,Maceo,"6,775",10,4,2,54,34,1,17
Magdalena Medio,Puerto Berrio,"47,717",109,2,14,257,113,5,78
Magdalena Medio,Puerto Nare,"18,846",4,1,1,61,69,1,16
Magdalena Medio,Puerto Triunfo,"20,483",80,11,4,146,43,1,67
Magdalena Medio,Yondo,"18,992",22,4,3,158,48,2,24
Nordeste,Amalfi,"22,253",31,4,9,175,47,1,42
Nordeste,Anori,"17,304",14,1,9,125,43,3,43
Nordeste,Cisneros,"8,998",25,2,7,24,44,1,50
Nordeste,Remedios,"29,898",31,5,16,322,60,1,20
Nordeste,San Roque,"16,663",25,1,3,100,66,1,29
Nordeste,Santo Domingo,"10,292",33,1,1,43,71,1,30
Nordeste,Segovia,"40,688",56,3,50,242,70,6,61
Nordeste,Vegachi,"9,273",3,3,4,99,74,1,12
Nordeste,Yali,"8,400",5,4,3,47,41,1,14
Nordeste,Yolombo,"24,384",23,4,6,139,52,1,33
Norte,Angostura,"11,240",11,4,6,83,36,2,21
Norte,Belmira,"6,823",2,1,5,25,34,1,5
Norte,Briceño,"8,692",2,1,19,86,43,1,6
Norte,Campamento,"9,035",9,1,1,86,33,1,16
Norte,Carolina del Principe,"3,583",3,1,2,19,35,1,10
Norte,Donmatias,"22,726",51,8,9,103,56,6,46
Norte,Entrerrios,"10,102",22,3,8,46,31,1,21
Norte,Gomez Plata,"12,964",12,1,2,41,40,1,26
Norte,Guadalupe,"6,306",4,1,1,20,35,1,2
Norte,Ituango,"20,628",15,2,4,208,38,1,34
Norte,San Andres de Cuerquia,"6,126",17,3,3,57,36,1,13
Norte,San Jose de la Montaña,"3,368",2,2,1,11,18,1,10
Norte,San Pedro de los Milagros,"27,059",68,3,11,93,47,1,53
Norte,Santa Rosa de Osos,"36,103",112,13,3,167,89,3,67
Norte,Toledo,"6,466",1,1,3,37,23,1,7
Norte,Valdivia,"22,754",14,25,17,168,24,4,31
Norte,Yarumal,"47,436",89,8,19,262,74,5,79
Occidente,Abriaqui,"2,075",1,1,1,15,23,1,1
Occidente,Anza,"7,580",3,1,6,38,25,1,12
Occidente,Armenia,"4,110",7,1,4,19,21,1,9
Occidente,Buritica,"6,566",15,1,3,42,19,1,31
Occidente,Caicedo,"8,275",9,1,3,73,28,1,7
Occidente,Cañasgordas,"16,751",2,3,7,62,64,1,13
Occidente,Dabeiba,"23,280",18,5,3,234,71,1,32
Occidente,Ebéjico,"12,510",14,3,6,41,37,3,35
Occidente,Frontino,"16,311",19,4,2,143,62,2,18
Occidente,Giraldo,"4,009",1,2,1,42,34,1,2
Occidente,Heliconia,"5,837",4,1,5,28,25,1,11
Occidente,Liborina,"9,546",6,1,1,37,36,1,8
Occidente,Olaya,"3,278",4,1,1,10,30,1,1
Occidente,Peque,"11,064",3,1,2,62,36,1,1
Occidente,Sabanalarga,"8,191",1,1,3,80,28,1,3
Occidente,San Jeronimo,"12,724",13,6,13,62,33,2,9
Occidente,Santa Fe de Antioquia,"24,724",80,12,22,122,81,3,83
Occidente,Sopetran,"14,821",16,5,19,79,50,1,9
Occidente,Uramita,"8,230",10,2,1,45,41,1,1
Oriente,Abejorral,"19,195",31,1,8,89,79,1,42
Oriente,Alejandria,"3,435",5,1,2,22,39,1,6
Oriente,Argelia,"8,578",5,1,1,43,36,1,13
Oriente,Cocorna,"14,964",21,6,6,103,92,1,10
Oriente,Concepcion,"3,375",5,1,1,22,42,1,5
Oriente,El Carmen de Viboral,"47,340",171,5,10,170,87,3,79
Oriente,El Peñol,"15,848",63,3,15,133,43,3,54
Oriente,El Retiro,"19,310",65,8,3,64,68,1,29
Oriente,El Santuario,"27,176",67,3,4,135,66,1,28
Oriente,Granada,"9,866",7,1,1,15,59,1,9
Oriente,Guarne,"48,659",238,18,10,160,88,4,86
Oriente,Guatape,"5,231",9,3,5,57,33,1,22
Oriente,La Ceja del Tambo,"53,361",69,10,13,249,98,3,124
Oriente,La Union,"19,229",220,20,2,70,48,1,35
Oriente,Marinilla,"54,186",62,13,13,202,88,5,68
Oriente,Nariño,"17,486",510,1,2,64,50,1,7
Oriente,San Carlos,"16,086",2,3,1,92,130,2,13
Oriente,San Francisco,"5,222",13,1,2,50,33,1,4
Oriente,San Luis,"10,938",19,10,4,117,65,1,5
Oriente,San Rafael,"12,920",27,1,2,67,55,1,50
Oriente,San Vicente Ferrer,"16,967",60,7,7,57,60,2,22
Oriente,Sonsón,"35,056",15,6,12,217,198,8,58
Suroeste,Amaga,"29,770",73,5,8,144,50,5,108
Suroeste,Andes,"46,221",54,9,21,253,96,3,129
Suroeste,Angelopolis,"9,082",4,1,5,35,20,1,18
Suroeste,Betania,"9,188",4,1,13,53,41,1,12
Suroeste,Betulia,"17,606",16,1,10,174,68,6,11
Suroeste,Caramanta,"5,340",1,2,1,21,39,1,7
Suroeste,Ciudad Bolívar,"26,957",21,3,24,226,81,2,50
Suroeste,Concordia,"20,565",33,11,13,140,66,1,34
Suroeste,Fredonia,"21,426",46,7,16,128,57,2,69
Suroeste,Hispania,"4,874",8,2,1,36,16,1,4
Suroeste,Jardin,"13,673",17,1,2,81,46,1,18
Suroeste,Jerico,"12,016",18,1,2,37,48,1,24
Suroeste,Montebello,"6,077",9,1,2,17,35,1,18
Suroeste,Pueblorrico,"6,913",7,1,8,69,36,1,5
Suroeste,Salgar,"17,539",16,3,11,124,73,1,17
Suroeste,Santa Barbara,"21,917",33,11,9,78,57,2,39
Suroeste,Tamesis,"14,559",24,2,3,68,82,1,30
Suroeste,Tarso,"7,863",4,1,4,24,23,1,20
Suroeste,Titiribi,"14,494",14,3,3,47,30,1,16
Suroeste,Urrao,"45,266",22,5,20,189,122,1,35
Suroeste,Valparaiso,"6,152",3,1,4,9,44,1,9
Suroeste,Venecia,"13,231",32,2,7,64,48,1,30
Uraba,Apartado,"183,716",243,8,27,949,86,11,141
Uraba,Arboletes,"41,209",8,3,7,193,34,1,22
Uraba,Carepa,"57,220",56,19,20,328,70,2,44
Uraba,Chigorodo,"78,148",37,18,27,585,54,7,63
Uraba,Murindo,"4,692",1,1,1,41,14,1,1
Uraba,Mutata,"21,077",14,12,13,232,39,1,13
Uraba,Necocli,"63,991",11,7,8,408,52,1,23
Uraba,San Juan de Uraba,"25,652",1,4,2,192,39,1,3
Uraba,San Pedro de Uraba,"31,539",5,1,4,298,87,1,16
Uraba,Vigía del Fuerte,"5,587",1,1,1,70,52,1,6
